"postTitle","postDescription","text","likesCount","facebookUrl"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"हात छोडेर कुदाउनु भएछ नि त","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"यो बेरोजगारिलाई ढुङ्गा बोक्न पठाउ त👉","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Natikne stunt j pani temporary timro","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"एकपटक यता हेर्यौ:
https://m.facebook.com/story.php?story_fbid=122105581737297349&id=61588920483631&mibextid=ZbWKwL

#harkasampangarevolution","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Ta muji ko aaukat ni hunu paryo ni security sahitko gaadi chadhne.
Muji gwade sungur","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"भारतकाे बाईक भयर लडेकाे। नत्र नलड्ने ।","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"अरु वाट थेट भएपो ,  आफै वाट थ्रेट भएको लाई के को","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Lauda jsto Kura Nagar hark","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"मेरे सेर 🙏","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"समेली जाठो","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"😀😀😃चिप्लेकिरा","0","https://www.facebook.com/share/p/18JfnaJorD/"
